序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
2093,澎湖縣湖西鄉,湖西村,澎湖縣湖西鄉湖西村43之11號,119.6537,23.5846,湖西鄉公所,湖西村 湖東村,100,"水災,震災,海嘯",洪舒萍,06-9921731轉122,是,否,是
2095,澎湖縣湖西鄉,北寮村,北寮村25-2號,119.669,23.5854,北寮社區活動中心,北寮村,30,"水災,震災",洪國進,06-9921024,是,否,是
2099,澎湖縣湖西鄉,潭邊村,潭邊村53號,119.6425,23.5872,潭邊社區活動中心,潭邊、許家村,105,"水災,震災",歐青厚,06-9213710,是,否,是
2111,澎湖縣湖西鄉,南寮村,南寮村121-5號,119.6082,23.5945,南寮社區活動中心,?葉村,80,"水災,震災",陳有擇,06-9921030,是,否,是
2112,澎湖縣湖西鄉,隘門村,隘門村41-1號,119.6164,23.5951,隘門國小多元化教室,隘門村,75,"水災,震災",總務處,06-9212692#30,是,否,是
2116,澎湖縣湖西鄉,尖山村,尖山村5鄰45-1號,119.6139,23.5975,尖山社區活動中心,尖山、龍門村,53,"水災,震災",王家興,06-9921629,是,否,是
2119,澎湖縣湖西鄉,成功村,成功村80-2號,119.6692,23.5985,成功社區活動中心,成功、東石村,95,"水災,震災",李長豐,06-9213702,是,否,是
2128,澎湖縣湖西鄉,西溪村,西溪村130號,119.6697,23.6003,西溪國小視聽教室,西溪村,55,海嘯,總務處,06-9921082,否,是,是
2166,澎湖縣白沙鄉,城前村,17-1號,119.595268,23.626177,城前社區活動中心,中屯村、講美村、城前村,74,"水災,震災",林玄立,06-9933491,是,否,是
2175,澎湖縣西嶼鄉,外垵村,外垵村4-26號,119.5228,23.6315,外垵社區活動中心,外垵村,90,"水災,震災,海嘯",呂賜教,06-9981660,是,否,是
2178,澎湖縣西嶼鄉,內垵村,內垵村43-5號,119.5137,23.6324,內垵村?漁民活動中心,內垵村,100,海嘯,洪興周,06-9983537,否,是,是
2181,澎湖縣西嶼鄉,池東村,池東村213號,119.5222,23.6348,西嶼國中體育館,二崁、池東、池西村,300,"水災,震災,海嘯",陳文正,06-9981110#18,是,是,是
2183,澎湖縣西嶼鄉,橫礁村,橫礁村37-1,119.5246,23.6358,橫礁社區活動中心,橫礁村,30,海嘯,陳添丁,06-9983379,否,是,是
2192,澎湖縣西嶼鄉,小門村,小門村11-9號,119.5312,23.6382,小門國小,小門村,200,"水災,震災",總務處,06-9981662,是,否,是
2193,澎湖縣西嶼鄉,合界村,合界村80-1號,119.5313,23.6388,合界社區活動中心,合界村,32,"水災,震災",楊扁,06-9981177,是,否,是
2205,澎湖縣西嶼鄉,竹灣村,竹灣村70-4號,119.5163,23.6429,竹灣社區活動中心,竹灣村,35,海嘯,許進清,06-9981106,否,是,是
2215,澎湖縣白沙鄉,港子村,54-5號,119.59875,23.648238,港子社區活動中心,鎮海村、港子村、岐頭村、瓦硐村、赤崁村,78,"水災,震災",蕭志誠,06-9932876,是,否,是
2222,澎湖縣望安鄉,花嶼村,花嶼76-3號,119.5174,23.6527,花嶼社區發展協會,花嶼村,60,"水災,震災",伍連富,06-9991773,是,否,是
2224,澎湖縣西嶼鄉,大池村,大池村11-5號,119.5166,23.6541,大池社區活動中心,大池村,28,"水災,震災",陳碧珍,06-9983560,是,否,是
3022,南投縣國姓鄉,北山村,中正路4段112號,117.874241,23.982156,北山社區活動中心,北山村,50,"水災,震災,土石流,海嘯",劉煥鋒村長,0921-786113,是,否,是
3082,屏東縣滿州鄉,里德村,山頂路57號隔壁,118.0,24.0,里德社區活動中心,里德村,60,"水災,土石流,海嘯",宋仁宗,08-8801358,是,否,是
3752,金門縣金沙鎮,大洋里,大洋里東山22號,118.271,24.274,金沙鎮大洋里辦公處,金門縣金沙鎮大洋里,30,"水災,震災,土石流",吳有泰,082-335089,是,否,否
3762,金門縣金沙鎮,何斗里,何斗里斗門55-3號,118.24,24.282,金沙鎮何斗里辦公處,金門縣金沙鎮何斗里,80,"水災,震災,土石流,海嘯",陳金德,082-351872,是,否,否
3763,金門縣金沙鎮,三山里,三山里碧山58-1號,118.245,24.282,金沙鎮三山里辦公處,金門縣金沙鎮三山里,30,"水災,震災,土石流",陳賜發,082-351840,是,否,否
3764,金門縣金沙鎮,浦山里,浦山里浦邊4-3號,118.232,24.284,金沙鎮浦山里辦公處,金門縣金沙鎮浦山里,30,"水災,震災,土石流",周家才,082-352848,是,否,否
3765,金門縣金沙鎮,光前里,光前里陽翟96-5號,118.253,24.284,金沙鎮光前里辦公處,金門縣金沙鎮光前里,80,"水災,震災,土石流",翁麗治,082-353833,是,否,否
3769,金門縣金沙鎮,汶沙里,汶沙里國中路1-1號,118.245,24.291,金沙鎮汶沙里辦公處,金門縣金沙鎮汶沙里,30,"水災,震災,土石流",張瀚龍,082-352556,是,否,否
3779,金門縣金沙鎮,西園里,西園里西園1-3號,118.242,24.303,金沙鎮西園里辦公處,金門縣金沙鎮西園里,30,"水災,震災,土石流",黃木林,082-354628,否,否,否
3794,金門縣金沙鎮,官嶼里,官嶼里官澳82-2號,118.245,24.311,金沙鎮官嶼里辦公處,金門縣金沙鎮官嶼里,30,"水災,震災,土石流",楊恭勤,082-351715,是,否,否
3852,金門縣金城鎮,西門里,民權路90-6號,118.305944,24.40212,西南門里辦公處,西門里、南門里,50,水災,楊雨川、楊耀芸,082-322581‧325705,是,否,否
3853,金門縣金城鎮,古城里,金門城85-1號,118.305944,24.40212,金門城社區活動中心,古城里,50,水災,洪啟福,082-329428,是,否,否
3855,金門縣金城鎮,金水里,前水頭150-1號,118.295323,24.412637,前水頭社區活動中心,金水里,50,水災,黃延良,082-329103,是,否,否
3856,金門縣金城鎮,珠沙里,和平新村130號,118.32855,24.414884,和平社區活動中心,珠沙里,50,水災,王琨敏,082-329563,是,否,否
3857,金門縣烈嶼鄉,上岐村,青岐90號,118.226,24.4154,金門縣烈嶼鄉上岐村辦公處,上岐村,30,"水災,震災,土石流,海嘯",吳鉉超,082-364503,是,否,是
3858,金門縣金湖鎮,料羅里,料羅16-4號,118.436256,24.416677,金湖鎮料羅里辦公處,料羅里,30,"水災,震災,土石流,海嘯",謝慶閣,082-330889,是,否,是
3859,金門縣金城鎮,賢庵里,賢聚25號,118.30989,24.417848,賢庵里辦公處,賢庵里,30,水災,盧志嶢,082-326500,是,否,否
3870,金門縣金湖鎮,蓮庵里,東村43號,118.445281,24.42601,金湖鎮蓮庵里辦公處,蓮庵里,30,"水災,震災,土石流,海嘯",呂玉華,082-337011,是,否,是
3873,金門縣烈嶼鄉,上林村,上林78號,118.2322,24.4279,金門縣烈嶼鄉上林村辦公處,上林村,30,"水災,震災,土石流,海嘯",吳鉉超,082-364503,是,否,是
3874,金門縣烈嶼鄉,林湖村,后井40號,118.2429,24.429,金門縣烈嶼鄉體育館,烈嶼鄉各村機動式收容,100,"水災,震災,土石流,海嘯",蔡淑英,364675,是,否,是
3877,金門縣金城鎮,南門里,民族路261號,118.315222,24.42986,金門縣立體育館,全縣各村里機動式收容,500,水災,姜慧人,082-328616,否,否,否
3878,金門縣金城鎮,東門里,民生路2號,118.320608,24.432741,金城鎮公所,東門里、北門里,60,"水災,震災",陳秀玉,082-325058,是,否,是
3879,金門縣金寧鄉,榜林村,榜林21號,118.331873,24.435134,榜林村辦公處收容所,榜林村,50,,楊龍傳,082-372477,否,否,否
3880,金門縣烈嶼鄉,西口村,西方18號,118.2383,24.4353,金門縣烈嶼鄉西口村辦公處,西口村,30,"水災,震災,土石流,海嘯",王淑惠,082-364503,是,否,是
3881,金門縣金湖鎮,新湖里,湖前62-1號,118.414545,24.435813,金湖鎮新湖里辦公處,新湖里,30,"水災,震災,土石流,海嘯",陳文顧,082-333101,是,否,是
3883,金門縣金湖鎮,正義里,成功65-1號,118.390023,24.439013,金湖鎮正義里辦公處,正義里,40,"水災,震災,土石流,海嘯",陳偃武,082-325439,是,否,是
3884,金門縣金湖鎮,新市里,林森路二號,118.416876,24.441506,金湖鎮公所,金湖鎮各里機動式收容,120,"水災,震災,土石流,海嘯",張森柏,082-332528,是,否,是
3885,金門縣金湖鎮,新市里,林森路6號,118.416754,24.441569,金湖鎮新市里辦公處,新市里,40,水災,吳志成,082-332131,是,否,否
3886,金門縣金湖鎮,溪湖里,溪邊80號,118.460286,24.442463,金湖鎮溪湖里辦公處,溪湖里,30,"水災,震災,土石流,海嘯",呂光河,082-330977,是,否,是
3887,金門縣金湖鎮,山外里,山外1-1號,118.414691,24.443575,金湖鎮山外里辦公處,山外里,30,"水災,震災,土石流,海嘯",陳晚開,082-331183,是,否,是
3890,金門縣烈嶼鄉,黃埔村,黃厝45號,118.2518,24.4467,金門縣烈嶼鄉黃埔村辦公處,黃埔村,30,"水災,震災,土石流,海嘯",王淑惠,082-364503,是,否,是
3894,金門縣金寧鄉,盤山村,頂堡150號,118.340234,24.449053,盤山村辦公處收容所,盤山村,50,"水災,土石流,海嘯",翁明海,082-329174,是,否,是
3895,金門縣金寧鄉,后盤村,后盤山33號,118.354268,24.450889,后盤村辦公處收容所,后盤村,50,"水災,土石流,海嘯",許明吉,082-311867,是,否,是
3896,金門縣金寧鄉,盤山村,仁愛新村1號,118.3349,24.4509,金寧鄉公所收容所,金寧鄉轄區各村落,100,"水災,土石流,海嘯",楊德勝,082-326510,是,否,是
3897,金門縣金湖鎮,瓊林里,瓊林236-1號,118.372922,24.455146,金湖鎮瓊林里辦公處,瓊林里,50,"水災,震災,土石流,海嘯",蔡顯明,082-332426,是,否,是
3898,金門縣金寧鄉,安美村,安岐37-3號,118.32665,24.457343,安美村辦公處收容所,安美村,50,"水災,土石流,海嘯",蔡輝進,082-327411,是,否,是
3899,金門縣金寧鄉,湖埔村,湖下155號,118.305473,24.458058,湖埔村辦公處收容所,湖埔村,50,"水災,土石流,海嘯",楊振嵩,328952,是,否,是
3918,金門縣金寧鄉,古寧村,北山10之3號,118.31223,24.477772,古寧村辦公處收容所,古寧村,50,"水災,土石流,海嘯",李朝金,082-329376,是,否,是
3924,金門縣金沙鎮,汶沙里,環島東路一段112號,118.4132,24.4889,金沙鎮公所,汶沙里、西園里、光前里、大洋里、浦山里、何斗里、官嶼里、三山里。,110,"水災,震災,土石流,海嘯",吳秀嬌,082-352150,是,否,是
5030,彰化縣彰化市,忠孝里,辭修路200號,120.0,25.0,忠孝國小,西勢里萬壽里長樂里忠孝里忠權里五權里西興里,703,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
5945,嘉義縣竹崎鄉,義仁村,義仁村7鄰坪頂14-1號,120.5472,25.5234,義仁社區活動中心,義仁村,30,土石流,翁國卿,05-2110551,是,否,否
5946,宜蘭縣礁溪鄉,六結村,中山路二段3號,117.8236,25.7717,礁溪鄉公所二樓,六結村,38,"水災,震災,土石流,海嘯",林玫瑩,03-9881311-112,是,否,是
5947,連江縣南竿鄉,仁愛村,95號,119.9311,26.1409,仁愛國小教室,仁愛村,0,"水災,震災,土石流",曹正偉,912547147,是,否,是
5948,連江縣北竿鄉,,100號,119.9428,26.1525,馬祖綜合福利園區,清水村,0,"水災,震災,土石流",池銀官,933935062,是,否,是
5949,連江縣南竿鄉,介壽村,374號,119.9551,26.1541,國立馬祖高中,介壽村,0,"水災,震災,土石流,海嘯",賴哲彥,988071001,是,否,是
5950,連江縣南竿鄉,介壽村,374-2號,119.9533,26.155,連江縣體育館,介壽村,0,"水災,震災,土石流,海嘯",林建國,921932002,是,否,是
5951,連江縣南竿鄉,介壽村,156號,119.9575,26.1551,老人活動中心,介壽村,0,"水災,震災,土石流",王芳琳,920121824,是,否,是
5952,連江縣南竿鄉,馬祖村,4號,119.9254,26.1591,中正國中小學教室,馬祖村,0,"水災,震災,土石流,海嘯",陳松梗,928812999,是,否,是
5953,連江縣南竿鄉,介壽村,13號,119.9551,26.1601,介壽國中小學教室,介壽村,0,"水災,震災,土石流,海嘯",陳祖武,919919621,是,否,是
5954,連江縣南竿鄉,福沃村,港口,119.9494,26.1605,福沃候船大樓,福沃村,0,"水災,震災,土石流",李慧英,937505830,是,否,是
5955,連江縣北竿鄉,白沙村,72號,119.969141,26.205717,港務大樓,白沙村,100,,陳振火,937505820,否,否,否
5956,連江縣北竿鄉,,59號,119.974369,26.215342,?里國小,?里村,0,,劉碧雲,937077397,否,否,否
5957,連江縣北竿鄉,塘岐村,55號,119.997023,26.223545,塘岐國小,塘岐村,0,,陳功德,937770312,否,否,否
5958,連江縣北竿鄉,后沃村,22號,120.007001,26.223712,楊公八使廟,后沃村,0,,陳鈺麟,321930208,否,否,否
5959,連江縣北竿鄉,芹壁村,84號,119.980487,26.224023,中山國中,芹壁村,0,,蕭建福,919919713,否,否,否
5960,連江縣北竿鄉,塘岐村,260-1號,119.997413,26.225534,老人活動中心,塘岐村,0,,陳如嵐,919133461,否,否,否
5961,連江縣北竿鄉,塘岐村,北竿鄉塘岐村,119.996627,26.227096,塘歧羽球館,塘岐村,0,,陳冠國,911837560,否,否,否
5962,連江縣北竿鄉,橋仔村,100號,119.993381,26.234607,三合殿,橋仔村,0,,陳尚飛,932072150,否,否,否
5963,連江縣東引鄉,樂華村,72-1號,120.487955,26.366913,東引鄉活動中心,樂華村,0,,林美春,933768131,否,否,否
5964,連江縣東引鄉,中柳村,94號,120.488451,26.367919,東引國中小教室,中柳村,0,,王禮民,921932933,否,否,否
5965,連江縣東引鄉,中柳村,95號,120.487894,26.368364,東引鄉體育館,中柳村,0,,林美春,933768131,否,否,否
5966,桃園市新屋區,蚵間里,2鄰14號,121.004719,26.871407,蚵間社區活動中心,蚵間里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5967,桃園市新屋區,埔頂里,2鄰34號,121.105768,26.876735,埔頂社區活動中心,埔頂里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5968,桃園市新屋區,大坡里,5鄰三角堀5號,121.029795,26.882838,大坡社區活動中心,大坡里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5969,桃園市新屋區,新生里,中山路370號,121.095164,26.898771,新屋區婦幼館,新生里等,100,"水災,震災",蕭秀卿,03-4778168,是,否,是
5970,桃園市新屋區,笨港里,2鄰榕樹下10之1號,121.024039,26.900275,笨港社區活動中心,笨港里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5971,桃園市新屋區,赤欄里,8鄰中山西路2段280號,121.064953,26.905677,赤欄社區活動中心,赤欄里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5972,桃園市新屋區,後湖里,6鄰7之6號,121.082269,26.908804,後湖社區活動中心,後湖里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
5973,桃園市新屋區,下埔里,4鄰9之4號,121.045155,26.933159,下埔社區發展協會,下埔里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是
18,桃園市觀音區,上大里,8鄰大湖路一段510號,121.147333,24.978234,上大社區活動中心,上大村、富源村、崙坪村,0,,魏秀有,919103049,否,否,否
19,桃園市觀音區,武威里,4鄰武威一路10號,121.073317,25.028242,武威社區活動中心,武威村、三和村、保生村,0,,廖介文,972196113,否,否,否
20,桃園市觀音區,塔腳里,4鄰塔腳路116號,121.154708,25.049298,塔腳社區活動中心,塔腳村、廣福村、保障村,0,,莊林乾,932948680,否,否,否
21,桃園市觀音區,廣福里,福山路二段403巷6號,121.153383,25.019018,廣福社區活動中心,廣福村、新坡村、草漯村,0,,陳秀鳳,4983945,否,否,否
22,桃園市觀音區,草新里,新生路1462號,121.142939,25.045941,草漯國民小學,草漯村、樹林村、保障村,100,,羅淑貞,4830160#51,否,否,否
23,桃園市觀音區,上大里,8鄰大湖路一段540號,121.146755,24.979129,上大國民小學,上大村、富源村、崙坪村,100,,張秀琪,4901174#510,否,否,否
24,桃園市觀音區,崙坪里,崙坪里297之1號,121.162676,24.999596,崙坪國民小學,崙坪村、大同村、上大村,100,,吳曉芬,4981286#51,否,否,否
25,桃園市觀音區,富林里,大觀路三段466號,121.1285,25.062195,富林國民小學,富林村、廣興村、草漯村,100,,王文昌,4839049#51,否,否,否
26,桃園市觀音區,樹林里,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,樹林國民小學,樹林村、草漯村、富林村,100,,張麗君,4830414#51,否,否,否
27,桃園市觀音區,觀音里,觀新路56號,121.083597,25.028281,觀音區公所綠資源中心,觀音村、三和村、武威村,0,,許誌峰,925629102,否,否,否
29,高雄市前鎮區,竹中里,廣西路57號,120.32,22.615,高雄市前鎮區光華國民小學,全區綜合調度,300,"水災,震災,土石流,海嘯",總務組,7222846,否,否,是
32,高雄市小港區,鳳源里,鳳林路207號,120.343,22.527,高雄市小港區鳳林國民小學,鳳林、鳳源,300,"水災,震災,土石流,海嘯",陳宜亨,8712367＊710,否,否,否
45,屏東縣霧臺鄉,大武村,2鄰小山巷7號,120.754782,22.757534,大武社區活動中心,大武村,30,"水災,土石流",歐光夫,932451102,是,否,是
48,彰化縣員林市,中東里,山腳路五段185巷20號,120.599689,23.971414,中東社區活動中心,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,30,"水災,土石流,海嘯",黃勝裕,8347171,否,否,否
49,彰化縣員林市,三和里,育英路103號,120.574848,23.961057,崇實高工體育館,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,80,"水災,震災,土石流,海嘯",張文福,8347171,否,否,否
50,彰化縣彰化市,東芳里,彰馬路45號,120.516345,24.062538,東芳國小,東芳里南安里刺桐里磚?里,145,"水災,震災,土石流,海嘯",楊娣雅,72221411710,否,否,否
